name,R_M1,N_M1,R_M2,N_M2,d,Xmax,Xmin,EAmax,EAmin,IEmax,IEmin,Omax,Omin,Qmax,Qmin,DBCmax,DBCmin
W-Pd,1.93,4,1.69,10,2.442,2.36,2.2,0.816268,0.5621412,8.336839,7.86403,0.85,-0.03,1.351348,0.317809,-0.286,-3.0285
Re-Pd,1.88,5,1.69,10,2.424,2.2,1.9,0.5621412,0.06039663,8.336839,7.83352,0.5,-0.03,0.975321,0.400431,-0.8975,-3.096
Os-Pd,1.85,6,1.69,10,2.45,2.2,2.2,1.0778013,0.5621412,8.43823,8.336839,0.43,-0.03,0.710495,0.450587,-1.142,-2.885
Ir-Pd,1.8,7,1.69,10,2.442,2.2,2.2,1.5643615,0.5621412,8.96702,8.336839,0.44,-0.03,0.552961,0.456032,-1.664,-2.631
Pt-Pd,1.77,9,1.69,10,2.401,2.28,2.2,2.125105,0.5621412,8.95883,8.336839,0.11,-0.03,0.434491,0.425551,-2.019,-2.144
Au-Pd,1.74,10,1.69,10,2.412,2.54,2.2,2.30861025,0.5621412,9.225554,8.336839,0.0,-0.03,0.550881,0.505542,-2.95,-4.806
Ag-Ag,1.65,10,1.65,10,2.606,1.93,1.93,1.304473,1.304473,7.576234,7.576234,0.1,0.1,0.537628,0.493715,-3.102,-3.102
Cd-Ag,1.61,10,1.65,10,2.598,1.93,1.69,1.304473,-0.72,8.99382,7.576234,0.25,0.1,0.750573,0.512577,-3.982,-8.176
Hf-Ag,2.08,2,1.65,10,2.641,1.93,1.3,1.304473,0.17807,7.576234,6.82507,1.0,0.1,1.645664,0.407715,0.534,-4.9585
Ta-Ag,2.0,3,1.65,10,2.624,1.93,1.5,1.304473,0.32312,7.576234,7.549571,0.75,0.1,1.978514,-0.156465,0.0005,-4.0325
W-Ag,1.93,4,1.65,10,2.609,2.36,1.93,1.304473,0.816268,7.86403,7.576234,0.85,0.1,1.638965,-0.107734,-0.3045,-3.789
Re-Ag,1.88,5,1.65,10,2.735,1.93,1.9,1.304473,0.06039663,7.83352,7.576234,0.5,0.1,1.122152,0.343101,-0.7195,-3.3055
Os-Ag,1.85,6,1.65,10,2.748,2.2,1.93,1.304473,1.0778013,8.43823,7.576234,0.43,0.1,0.789666,0.437636,-0.9105,-3.0745
Ir-Ag,1.8,7,1.65,10,2.724,2.2,1.93,1.5643615,1.304473,8.96702,7.576234,0.44,0.1,0.604592,0.488485,-1.488,-3.208
Pt-Ag,1.77,9,1.65,10,2.451,2.28,1.93,2.125105,1.304473,8.95883,7.576234,0.11,0.1,0.627295,0.482985,-3.043,-5.023
Au-Ag,1.74,10,1.65,10,2.638,2.54,1.93,2.30861025,1.304473,9.225554,7.576234,0.1,0.0,0.465884,0.462439,-2.797,-3.323
Cd-Cd,1.61,10,1.61,10,2.625,1.69,1.69,-0.72,-0.72,8.99382,8.99382,0.25,0.25,0.695214,0.539429,-7.577,-7.577
Hf-Cd,2.08,2,1.61,10,3.174,1.69,1.3,0.17807,-0.72,8.99382,6.82507,1.0,0.25,1.891607,0.043974,0.9785,-8.3565
Ta-Cd,2.0,3,1.61,10,3.051,1.69,1.5,0.32312,-0.72,8.99382,7.549571,0.75,0.25,1.791339,0.117277,0.1305,-8.418
W-Cd,1.93,4,1.61,10,2.793,2.36,1.69,0.816268,-0.72,8.99382,7.86403,0.85,0.25,1.46081,0.377769,-0.089,-8.0675
Re-Cd,1.88,5,1.61,10,2.749,1.9,1.69,0.06039663,-0.72,8.99382,7.83352,0.5,0.25,1.069241,0.528147,-0.777,-8.1165
Os-Cd,1.85,6,1.61,10,2.695,2.2,1.69,1.0778013,-0.72,8.99382,8.43823,0.43,0.25,0.730388,0.637942,-0.992,-7.984
Ir-Cd,1.8,7,1.61,10,2.733,2.2,1.69,1.5643615,-0.72,8.99382,8.96702,0.44,0.25,0.670656,0.591333,-1.722,-8.0795
Pt-Cd,1.77,9,1.61,10,2.925,2.28,1.69,2.125105,-0.72,8.99382,8.95883,0.25,0.11,0.616609,0.329591,-2.837,-7.208
Au-Cd,1.74,10,1.61,10,2.595,2.54,1.69,2.30861025,-0.72,9.225554,8.99382,0.25,0.0,0.83328,0.451327,-4.363,-8.375
Hf-Hf,2.08,2,2.08,2,2.832,1.3,1.3,0.17807,0.17807,6.82507,6.82507,1.0,1.0,1.311372,1.309247,0.8265,0.8265
Ta-Hf,2.0,3,2.08,2,2.63,1.5,1.3,0.32312,0.17807,7.549571,6.82507,1.0,0.75,1.400485,1.010673,0.899,0.347
W-Hf,1.93,4,2.08,2,2.539,2.36,1.3,0.816268,0.17807,7.86403,6.82507,1.0,0.85,1.489946,0.983382,0.926,-0.1015
Re-Hf,1.88,5,2.08,2,2.38,1.9,1.3,0.17807,0.06039663,7.83352,6.82507,1.0,0.5,1.538916,0.402017,1.2095,-0.548
Os-Hf,1.85,6,2.08,2,2.418,2.2,1.3,1.0778013,0.17807,8.43823,6.82507,1.0,0.43,1.718926,0.407403,0.9085,-1.3815
Ir-Hf,1.8,7,2.08,2,2.352,2.2,1.3,1.5643615,0.17807,8.96702,6.82507,1.0,0.44,1.68765,0.101898,1.159,-1.655
Pt-Hf,1.77,9,2.08,2,2.458,2.28,1.3,2.125105,0.17807,8.95883,6.82507,1.0,0.11,1.815654,0.124047,0.627,-3.0775
Au-Hf,1.74,10,2.08,2,2.603,2.54,1.3,2.30861025,0.17807,9.225554,6.82507,1.0,0.0,1.66368,0.301992,0.5995,-5.0
Ta-Ta,2.0,3,2.0,3,2.396,1.5,1.5,0.32312,0.32312,7.549571,7.549571,0.75,0.75,1.079894,1.073892,0.5195,0.5195
W-Ta,1.93,4,2.0,3,2.337,2.36,1.5,0.816268,0.32312,7.86403,7.549571,0.85,0.75,1.236219,0.828509,0.3765,-0.2215
Re-Ta,1.88,5,2.0,3,2.264,1.9,1.5,0.32312,0.06039663,7.83352,7.549571,0.75,0.5,1.31743,0.552518,0.795,-0.515
Os-Ta,1.85,6,2.0,3,2.242,2.2,1.5,1.0778013,0.32312,8.43823,7.549571,0.75,0.43,1.488044,0.336478,0.603,-1.187
Ir-Ta,1.8,7,2.0,3,2.304,2.2,1.5,1.5643615,0.32312,8.96702,7.549571,0.75,0.44,1.673603,0.231303,0.101,-2.191
Pt-Ta,1.77,9,2.0,3,2.404,2.28,1.5,2.125105,0.32312,8.95883,7.549571,0.75,0.11,1.650973,0.184332,0.1295,-3.24
Au-Ta,1.74,10,2.0,3,2.597,2.54,1.5,2.30861025,0.32312,9.225554,7.549571,0.75,0.0,1.568325,0.332233,-0.0135,-5.006
W-W,1.93,4,1.93,4,2.237,2.36,2.36,0.816268,0.816268,7.86403,7.86403,0.85,0.85,0.988487,0.984632,-0.0085,-0.0085
Re-W,1.88,5,1.93,4,2.193,2.36,1.9,0.816268,0.06039663,7.86403,7.83352,0.85,0.5,1.144265,0.690802,0.095,-0.6315
Os-W,1.85,6,1.93,4,2.22,2.36,2.2,1.0778013,0.816268,8.43823,7.86403,0.85,0.43,1.3566,0.510665,-0.386,-1.654
Ir-W,1.8,7,1.93,4,2.285,2.36,2.2,1.5643615,0.816268,8.96702,7.86403,0.85,0.44,1.40648,0.33146,-0.3325,-2.1815
Pt-W,1.77,9,1.93,4,2.445,2.36,2.28,2.125105,0.816268,8.95883,7.86403,0.85,0.11,1.369714,0.274533,-0.23,-3.0615
Au-W,1.74,10,1.93,4,2.535,2.54,2.36,2.30861025,0.816268,9.225554,7.86403,0.85,0.0,1.353706,0.374492,-0.2435,-4.9085
Re-Re,1.88,5,1.88,5,2.149,1.9,1.9,0.06039663,0.06039663,7.83352,7.83352,0.5,0.5,0.893218,0.890059,-1.07,-1.07
Os-Re,1.85,6,1.88,5,2.196,2.2,1.9,1.0778013,0.06039663,8.43823,7.83352,0.5,0.43,0.993946,0.636904,-1.018,-1.5835
Ir-Re,1.8,7,1.88,5,2.274,2.2,1.9,1.5643615,0.06039663,8.96702,7.83352,0.5,0.44,1.010558,0.467833,-1.0335,-2.3215
Pt-Re,1.77,9,1.88,5,2.425,2.28,1.9,2.125105,0.06039663,8.95883,7.83352,0.5,0.11,1.008955,0.371737,-0.8995,-3.194
Au-Re,1.74,10,1.88,5,2.495,2.54,1.9,2.30861025,0.06039663,9.225554,7.83352,0.5,0.0,1.061074,0.433299,-0.944,-4.9095
Os-Os,1.85,6,1.85,6,2.244,2.2,2.2,1.0778013,1.0778013,8.43823,8.43823,0.43,0.43,0.716821,0.691871,-1.7235,-1.7235
Ir-Os,1.8,7,1.85,6,2.296,2.2,2.2,1.5643615,1.0778013,8.96702,8.43823,0.44,0.43,0.762808,0.561504,-1.748,-2.48
Pt-Os,1.77,9,1.85,6,2.451,2.28,2.2,2.125105,1.0778013,8.95883,8.43823,0.43,0.11,0.721391,0.436574,-1.147,-2.974
Au-Os,1.74,10,1.85,6,2.493,2.54,2.2,2.30861025,1.0778013,9.225554,8.43823,0.43,0.0,0.719069,0.474869,-0.964,-4.515
Ir-Ir,1.8,7,1.8,7,2.432,2.2,2.2,1.5643615,1.5643615,8.96702,8.96702,0.44,0.44,0.53914,0.531508,-1.695,-1.695
Pt-Ir,1.77,9,1.8,7,2.442,2.28,2.2,2.125105,1.5643615,8.96702,8.95883,0.44,0.11,0.57154,0.464354,-1.8125,-2.973
Au-Ir,1.74,10,1.8,7,2.459,2.54,2.2,2.30861025,1.5643615,9.225554,8.96702,0.44,0.0,0.516466,0.492677,-1.286,-4.216
Pt-Pt,1.77,9,1.77,9,2.414,2.28,2.28,2.125105,2.125105,8.95883,8.95883,0.11,0.11,0.446862,0.426662,-2.197,-2.197
Au-Pt,1.74,10,1.77,9,2.427,2.54,2.28,2.30861025,2.125105,9.225554,8.95883,0.11,0.0,0.569255,0.491863,-2.884,-4.806
Au-Au,1.74,10,1.74,10,2.433,2.54,2.54,2.30861025,2.30861025,9.225554,9.225554,0.0,0.0,0.645948,0.637845,-5.556,-5.556
