name,Predicted value,Difference from optimal G
Ir-Cu,-0.08243346515264238,0.16363346515264238
Pt-Cu,0.5532996319071704,0.47209963190717036
Au-Cu,0.7638283497264815,0.6826283497264816
Zn-Zn,-0.9283722607539386,1.0095722607539386
Y-Zn,-1.7640448741684085,1.8452448741684084
Zr-Zn,-1.8809011516254426,1.9621011516254425
Nb-Zn,-1.8008702485924184,1.8820702485924183
Mo-Zn,-1.3793637237765157,1.4605637237765157
Tc-Zn,-1.3347555745348552,1.415955574534855
Ru-Zn,-0.7867029783294055,0.8679029783294054
Rh-Zn,-0.572583579955729,0.653783579955729
Pd-Zn,-0.369081069108249,0.450281069108249
Ag-Zn,-0.8533856660440102,0.9345856660440102
Cd-Zn,-0.6650646987255895,0.7462646987255894
Hf-Zn,-1.9191458857893606,2.000345885789361
Ta-Zn,-1.8586574617193414,1.9398574617193414
W-Zn,-1.502404719860699,1.5836047198606988
Re-Zn,-1.3111525899327314,1.3923525899327314
Os-Zn,-0.739358935268576,0.820558935268576
Ir-Zn,-0.6005980924298729,0.681798092429873
Pt-Zn,-0.178378816376753,0.259578816376753
Au-Zn,-0.2264592119794664,0.3076592119794664
Y-Y,-2.8290689684901484,2.9102689684901484
Zr-Y,-3.6772759362896954,3.7584759362896953
Nb-Y,-3.8834395386965443,3.9646395386965443
Mo-Y,-3.5720109957962487,3.6532109957962486
Tc-Y,-3.123003636916911,3.204203636916911
Ru-Y,-2.686225891104556,2.7674258911045557
Rh-Y,-2.3406394038297647,2.4218394038297646
Pd-Y,-1.8199031445897353,1.9011031445897353
Ag-Y,-1.913485938085929,1.994685938085929
Cd-Y,-1.1865448754811698,1.2677448754811698
Hf-Y,-3.63291721799295,3.71411721799295
Ta-Y,-4.0436754829006984,4.124875482900698
W-Y,-3.5778220950915296,3.6590220950915295
Re-Y,-3.063953423219685,3.1451534232196847
Os-Y,-2.6512904931870747,2.7324904931870746
Ir-Y,-2.314133872041572,2.3953338720415718
Pt-Y,-2.008139318502154,2.089339318502154
Au-Y,-1.894023613304777,1.975223613304777
Zr-Zr,-4.227790598977876,4.308990598977876
Nb-Zr,-4.3345685118421455,4.4157685118421455
Mo-Zr,-3.579508353988488,3.660708353988488
Tc-Zr,-3.0835412804905893,3.1647412804905892
Ru-Zr,-2.7935653387185813,2.874765338718581
Rh-Zr,-2.3189320819323482,2.400132081932348
Pd-Zr,-1.8830675746429808,1.9642675746429807
Ag-Zr,-1.9477798769670869,2.028979876967087
Cd-Zr,-1.1477691474979017,1.2289691474979016
Hf-Zr,-4.207622649161414,4.288822649161414
Ta-Zr,-4.505129204595105,4.5863292045951045
W-Zr,-3.9058844591786483,3.9870844591786483
Re-Zr,-3.2145351488872578,3.2957351488872577
Os-Zr,-2.7806145282443406,2.8618145282443406
Ir-Zr,-2.3216031151148213,2.4028031151148213
Pt-Zr,-2.096996123448606,2.178196123448606
Au-Zr,-1.9205338194783386,2.0017338194783387
Nb-Nb,-3.6991707385002135,3.7803707385002134
Mo-Nb,-2.9342874124310363,3.0154874124310362
Tc-Nb,-2.9476646193986733,3.0288646193986732
Ru-Nb,-2.2908944376395928,2.3720944376395927
Rh-Nb,-2.0414214749058512,2.122621474905851
Pd-Nb,-1.6805642813277926,1.7617642813277925
Ag-Nb,-1.7123061127825792,1.793506112782579
Cd-Nb,-1.1069390956843335,1.1881390956843334
Hf-Nb,-4.54970908858318,4.63090908858318
Ta-Nb,-4.1658997496191255,4.247099749619125
W-Nb,-3.5841737207087174,3.6653737207087174
Re-Nb,-3.0153423503887127,3.0965423503887126
Os-Nb,-2.3729908582524075,2.4541908582524075
Ir-Nb,-2.1154984752009445,2.1966984752009444
Pt-Nb,-1.8878324909257094,1.9690324909257093
Au-Nb,-1.710239168427544,1.791439168427544
Mo-Mo,-1.2040107629474779,1.2852107629474778
Tc-Mo,-1.5267919847367544,1.6079919847367543
Ru-Mo,-0.828079907374453,0.9092799073744531
Rh-Mo,-0.7145591829944271,0.795759182994427
Pd-Mo,-0.755013579831435,0.836213579831435
Ag-Mo,-0.9079075258565314,0.9891075258565314
Cd-Mo,-1.1073436494282733,1.1885436494282733
Hf-Mo,-3.9733889645631564,4.054588964563156
Ta-Mo,-3.513825358669168,3.595025358669168
W-Mo,-1.8629599004836281,1.944159900483628
Re-Mo,-1.5971679832396393,1.6783679832396392
Os-Mo,-0.9339817324910854,1.0151817324910855
Ir-Mo,-0.9118999653366713,0.9930999653366712
Pt-Mo,-0.9777060633707984,1.0589060633707983
Au-Mo,-0.947745682815661,1.028945682815661
Tc-Tc,-1.0662190393224522,1.1474190393224522
Ru-Tc,-0.5968006823342278,0.6780006823342277
Rh-Tc,-0.5024340254406023,0.5836340254406023
Pd-Tc,-0.4656097132996534,0.5468097132996534
Ag-Tc,-0.7742926930693192,0.8554926930693192
Cd-Tc,-0.9263103162161841,1.007510316216184
